device,n_anchors,encoding,n_uspc,data_idx,network_time
ipad,1280,EncodeProbeBufferCPUFloat4Striped,1,1018.0,12.223858615611192
ipad,1280,EncodeProbeBufferCPUFloat4Striped,2,1018.0,13.245459008345605
ipad,1280,EncodeProbeBufferCPUFloat4Striped,4,1018.0,14.855179185076093
ipad,1280,EncodeProbeBufferCPUOptimized,1,1018.0,14.423662248404517
ipad,1280,EncodeProbeBufferCPUOptimized,2,1018.0,13.942562592047128
ipad,1280,EncodeProbeBufferCPUOptimized,4,1018.0,21.84536082474227
ipad,1280,EncodeProbeBufferCPUOptimizedStriped,1,1018.0,13.16593028964163
ipad,1280,EncodeProbeBufferCPUOptimizedStriped,2,1018.0,12.945017182130584
ipad,1280,EncodeProbeBufferCPUOptimizedStriped,4,1018.0,15.02012763868434
ipad,1536,EncodeProbeBufferCPUFloat4,1,1018.0,14.815414825724105
ipad,1536,EncodeProbeBufferCPUFloat4,2,1018.0,17.87383406971036
ipad,1536,EncodeProbeBufferCPUFloat4,4,1018.0,27.68433971526755
ipad,1536,EncodeProbeBufferCPUFloat4Striped,1,1018.0,14.984290623465881
ipad,1536,EncodeProbeBufferCPUFloat4Striped,2,1018.0,14.846342660775651
ipad,1536,EncodeProbeBufferCPUFloat4Striped,4,1018.0,15.936671575846834
ipad,1536,EncodeProbeBufferCPUOptimized,1,1018.0,16.002945508100147
ipad,1536,EncodeProbeBufferCPUOptimized,2,1018.0,14.97594501718213
ipad,1536,EncodeProbeBufferCPUOptimized,4,1018.0,16.972508591065292
ipad,1536,EncodeProbeBufferCPUOptimizedStriped,1,1018.0,13.96318114874816
ipad,1536,EncodeProbeBufferCPUOptimizedStriped,2,1018.0,13.520864015709376
ipad,1536,EncodeProbeBufferCPUOptimizedStriped,4,1018.0,15.282277859597448
ipad,1792,EncodeProbeBufferCPUFloat4,1,1018.0,18.260677466863033
ipad,1792,EncodeProbeBufferCPUFloat4,2,1018.0,30.527245949926364
ipad,1792,EncodeProbeBufferCPUFloat4,4,1018.0,34.81836033382425
ipad,1792,EncodeProbeBufferCPUFloat4Striped,1,1018.0,14.189494354442807
ipad,1792,EncodeProbeBufferCPUFloat4Striped,2,1018.0,16.00392734413353
ipad,1792,EncodeProbeBufferCPUFloat4Striped,4,1018.0,18.605792832596958
ipad,1792,EncodeProbeBufferCPUOptimized,1,1018.0,14.739322533136965
ipad,1792,EncodeProbeBufferCPUOptimized,2,1018.0,17.92636229749632
ipad,1792,EncodeProbeBufferCPUOptimized,4,1018.0,25.89101620029455
ipad,1792,EncodeProbeBufferCPUOptimizedStriped,1,1018.0,16.395679921453116
ipad,1792,EncodeProbeBufferCPUOptimizedStriped,2,1018.0,15.02847324496809
ipad,1792,EncodeProbeBufferCPUOptimizedStriped,4,1018.0,17.776141384388808
ipad,2048,EncodeProbeBufferCPUFloat4,1,1018.0,18.241040746195385
ipad,2048,EncodeProbeBufferCPUFloat4,2,1018.0,29.950417280314188
ipad,2048,EncodeProbeBufferCPUFloat4,4,1018.0,37.042218949435444
ipad,2048,EncodeProbeBufferCPUFloat4Striped,1,1018.0,14.872852233676976
ipad,2048,EncodeProbeBufferCPUFloat4Striped,2,1018.0,15.72508591065292
ipad,2048,EncodeProbeBufferCPUFloat4Striped,4,1018.0,20.968581246931763
ipad,2048,EncodeProbeBufferCPUOptimized,1,1018.0,15.274423171330389
ipad,2048,EncodeProbeBufferCPUOptimized,2,1018.0,18.273441335297004
ipad,2048,EncodeProbeBufferCPUOptimized,4,1018.0,24.650466372115858
ipad,2048,EncodeProbeBufferCPUOptimizedStriped,1,1018.0,13.435444280805106
ipad,2048,EncodeProbeBufferCPUOptimizedStriped,2,1018.0,15.318605792832598
ipad,2048,EncodeProbeBufferCPUOptimizedStriped,4,1018.0,14.707412862052037
iphone,512,EncodeProbeBufferCPUFloat4,1,1018.0,8.917525773195877
iphone,512,EncodeProbeBufferCPUFloat4,2,1018.0,12.511045655375552
iphone,512,EncodeProbeBufferCPUFloat4,4,1018.0,16.61413843888071
iphone,512,EncodeProbeBufferCPUFloat4Striped,1,1018.0,8.826215022091311
iphone,512,EncodeProbeBufferCPUFloat4Striped,2,1018.0,8.460481099656358
iphone,512,EncodeProbeBufferCPUFloat4Striped,4,1018.0,8.997054491899853
iphone,512,EncodeProbeBufferCPUOptimized,1,1018.0,9.502700049091802
iphone,512,EncodeProbeBufferCPUOptimized,2,1018.0,9.087874324987727
iphone,512,EncodeProbeBufferCPUOptimized,4,1018.0,11.789887088856162
iphone,512,EncodeProbeBufferCPUOptimizedStriped,1,1018.0,7.966617574864998
iphone,512,EncodeProbeBufferCPUOptimizedStriped,2,1018.0,9.581737849779087
iphone,512,EncodeProbeBufferCPUOptimizedStriped,4,1018.0,8.435444280805106
iphone,768,EncodeProbeBufferCPUFloat4,1,1018.0,12.272950417280315
iphone,768,EncodeProbeBufferCPUFloat4,2,1018.0,15.201767304860088
iphone,768,EncodeProbeBufferCPUFloat4,4,1018.0,24.62346588119784
iphone,768,EncodeProbeBufferCPUFloat4Striped,1,1018.0,11.457044673539519
iphone,768,EncodeProbeBufferCPUFloat4Striped,2,1018.0,11.939617083946981
